sample_idx,tweet_pos,tweet_id,text,strict_majority_label,unique_highest_frequency_label,chatgpt_label,strict_majority_is_8emotion,unique_highest_frequency_is_8emotion
18,0,1475246429920800779,"@[user] 👏👏👏😂😂😂#energija...
#NisamPrijavila jer me niko nikad nije zlostavljao posto sam sama, a sebe niko ne prijavljuje...",,Emocionalno neutralno,radost,false,false
18,1,1475464657313972224,"#NisamPrijavila i ne znam da li ću ikada.
Zato što se bojim za svoj život.
Zato što sam godinama psihički zlostavljana i ne znam da li imam snage da prijavim.
Zato što je mala opština i poznaje sve policajce koji su mu i prijatelji.
Zato što me nije nikada 'jako' udario, kako  ⬇️",strah,strah,strah,true,true
18,2,1475199244525056006,"Zastrasujuca i porazavajuca je kolicina  #nisamprijavila tvitova. 😔

NE znaci NE, i tu nema nikakve polemike, to mora da se utuvi muskarcima u glavu od malena",,bes,tuga,false,true
18,3,1475378419517075457,"#nisamprijavila Jebem li vam svima majku koji ste svaku zenu dotakli mimo njihove volje!! Vratice se vasim cerkama,sestrama....",bes,bes,bes,true,true
18,4,1478124060903198733,"@[user] ali i ti se mešaš u stvari koje očigledno ne razumeš. ne podržavaš #nisamprijavila i pošto te očigledno boli kurac, samo pokazuješ time da si i ti deo problema i ovo nije prvi put da komentarišeš nešto ovako. ako ne razumeš o čemu pričaš, nemoj se ni mešati.",bes,bes,bes,true,true
18,5,1475149478285905920,"Iskreno citam #nisamprijavila i mogu vam reći Moje ♥️ JE sa Vama. Ja ne mogu da verujem kolilo tih slucajeva postoji i ko sve živi u nasoj blizini.

Drzite se.",poverenje,poverenje,tuga,true,true
18,6,1476929713465667586,"Taj pakao ne može da se prekine, samo se produbljuje i nema kraja.

Neću da ti dam da vodiš dete nigde, ubiću te… Osećaj krivice… Možda stvarno završi kao neka od žena… 

#Nisamprijavila jer dolaziće policija, porodicu svi znaju…

I da, #samesmo",,strah,strah,false,true
18,7,1475093978076917768,"#NisamPrijavila jer smo bili u vezi i ""voleli se"", a i zato što to nisam tada razumela..Pa šta ako smo se posvađali toliko da je njemu bilo ok da mi stavi ruke oko vrata da me davi? Pa šta ako smo se tukli u hodniku zgrade? Pa šta ako niko nije otvorio vrata i pozvao policiju?",,bes,strah,false,true
18,8,1475078474268389377,"što pre došlo do reforme istog, u kom su institicijalizovana mizoginija i princip ""slika, ili se nije desilo"" i te kako prisutni. ovim putem želim istovremeno da pružim ogromnu podršku za hrabrost svim #nisamprijavila i #nisisama žrtvama! zajedno smo u ovome! &lt;3",poverenje,poverenje,poverenje,true,true
18,9,1475048580058693637,"#nisamprijavila .... roman veka, pisan od strane žena koje srećemo, poznajemo, rod su nam, roman namenjen nama, muškarcima. Njima veeeliko ♥️, nama jak stomak i preispitivanje, iskreno.",radost,radost,gađenje,true,true
18,10,1475547952278028291,@[user] @[user] Evo ti hashtag #NisamPrijavila. Što čekaš. Reagiraj. Bori se.,,Emocionalno neutralno,iščekivanje,false,false
